log_id,driver_id,date,trip_id,timestamp,fare_earned,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL001,DRV001,2024-02-06,TRIP_DRV001_01,2024-02-06 07:07:18,186.78,186.78,0.6217,300.45,426.67,-126.22,1,at_risk
VEL002,DRV001,2024-02-06,TRIP_DRV001_02,2024-02-06 07:35:54,206.44,393.22,1.0983,433.09,426.67,6.42,2,on_track
VEL003,DRV001,2024-02-06,TRIP_DRV001_03,2024-02-06 08:21:42,402.66,795.88,1.8617,527.5,426.67,100.83,3,ahead
VEL004,DRV001,2024-02-06,TRIP_DRV001_04,2024-02-06 09:05:42,319.7,1115.58,2.595,435.95,426.67,9.28,4,on_track
VEL005,DRV001,2024-02-06,TRIP_DRV001_05,2024-02-06 09:45:30,219.05,1334.63,3.2583,330.23,426.67,-96.44,5,at_risk
VEL006,DRV001,2024-02-06,TRIP_DRV001_06,2024-02-06 10:28:48,266.44,1601.07,3.98,369.2,426.67,-57.47,6,at_risk
VEL007,DRV001,2024-02-06,TRIP_DRV001_07,2024-02-06 11:19:00,435.3,2036.37,4.8167,520.28,426.67,93.61,7,ahead
VEL008,DRV001,2024-02-06,TRIP_DRV001_08,2024-02-06 11:51:06,218.52,2254.89,5.3517,408.45,426.67,-18.22,8,on_track
VEL009,DRV001,2024-02-06,TRIP_DRV001_09,2024-02-06 12:43:06,392.94,2647.83,6.2183,453.39,426.67,26.72,9,on_track
VEL010,DRV001,2024-02-06,TRIP_DRV001_10,2024-02-06 13:14:06,208.18,2856.01,6.735,402.93,426.67,-23.74,10,on_track
VEL011,DRV001,2024-02-06,TRIP_DRV001_11,2024-02-06 13:53:48,363.93,3219.94,7.3967,550.02,426.67,123.35,11,ahead
VEL012,DRV001,2024-02-06,TRIP_DRV001_12,2024-02-06 14:30:00,230.47,3450.41,8.0,381.99,426.67,-44.68,12,at_risk
VEL013,DRV002,2024-02-06,TRIP_DRV002_01,2024-02-06 17:33:18,225.23,225.23,0.555,405.82,436.36,-30.54,1,on_track
VEL014,DRV002,2024-02-06,TRIP_DRV002_02,2024-02-06 18:30:12,446.99,672.22,1.5033,471.34,436.36,34.98,2,on_track
VEL015,DRV002,2024-02-06,TRIP_DRV002_03,2024-02-06 19:03:00,201.58,873.8,2.05,368.74,436.36,-67.62,3,at_risk
VEL016,DRV002,2024-02-06,TRIP_DRV002_04,2024-02-06 19:53:36,311.93,1185.73,2.8933,369.88,436.36,-66.48,4,at_risk
VEL017,DRV002,2024-02-06,TRIP_DRV002_05,2024-02-06 20:37:54,203.43,1389.16,3.6317,275.53,436.36,-160.83,5,at_risk
VEL018,DRV002,2024-02-06,TRIP_DRV002_06,2024-02-06 21:18:48,292.74,1681.9,4.3133,429.45,436.36,-6.91,6,on_track
VEL019,DRV002,2024-02-06,TRIP_DRV002_07,2024-02-06 22:14:06,326.94,2008.84,5.235,354.73,436.36,-81.63,7,at_risk
VEL020,DRV002,2024-02-06,TRIP_DRV002_08,2024-02-06 22:45:00,177.3,2186.14,5.75,344.27,436.36,-92.09,8,at_risk
VEL021,DRV003,2024-02-06,TRIP_DRV003_01,2024-02-06 09:18:06,891.79,891.79,1.3017,685.11,225.0,460.11,1,ahead
VEL022,DRV003,2024-02-06,TRIP_DRV003_02,2024-02-06 10:11:12,224.08,1115.87,2.1867,253.2,225.0,28.2,2,ahead
VEL023,DRV003,2024-02-06,TRIP_DRV003_03,2024-02-06 11:23:42,566.64,1682.51,3.395,468.94,225.0,243.94,3,ahead
VEL024,DRV003,2024-02-06,TRIP_DRV003_04,2024-02-06 12:58:06,664.46,2346.97,4.9683,422.33,225.0,197.33,4,ahead
VEL025,DRV003,2024-02-06,TRIP_DRV003_05,2024-02-06 14:20:54,465.44,2812.41,6.3483,337.28,225.0,112.28,5,ahead
VEL026,DRV003,2024-02-06,TRIP_DRV003_06,2024-02-06 15:10:48,341.99,3154.4,7.18,411.21,225.0,186.21,6,ahead
VEL027,DRV003,2024-02-06,TRIP_DRV003_07,2024-02-06 16:10:36,335.67,3490.07,8.1767,336.79,225.0,111.79,7,ahead
