flag_id,trip_id,driver_id,timestamp,elapsed_seconds,signal_type,event_label,severity,explanation
FLAG0001,TRIP_DRV003_01,DRV003,2024-02-06 06:57:21,1641,MOTION,POTHOLE,low,Road irregularity detected - pothole or speed bump
FLAG0002,TRIP_DRV003_02,DRV003,2024-02-06 08:57:24,2964,MOTION,POTHOLE,low,Road irregularity detected - pothole or speed bump
FLAG0003,TRIP_DRV003_03,DRV003,2024-02-06 10:21:09,2889,MOTION,RAPID_ACCELERATION,medium,Quick acceleration detected - possibly unsafe
FLAG0004,TRIP_DRV003_03,DRV003,2024-02-06 10:58:11,5111,MOTION,HARSH_TURN,medium,Sharp turn taken at higher speed than recommended
FLAG0005,TRIP_DRV003_03,DRV003,2024-02-06 11:04:49,5509,MOTION,HARSH_TURN,medium,Sharp turn taken at higher speed than recommended
FLAG0006,TRIP_DRV003_03,DRV003,2024-02-06 10:19:40,2800,COMPOUND,COMPOUND_BRAKE_CONFLICT,critical,Harsh braking during passenger conflict - high stress moment
FLAG0007,TRIP_DRV003_03,DRV003,2024-02-06 11:09:40,5800,COMPOUND,COMPOUND_TURN_CONFLICT,high,Sharp maneuver during raised voices - distracted driving risk
FLAG0008,TRIP_DRV003_04,DRV003,2024-02-06 14:08:33,7422,MOTION,AGGRESSIVE_BRAKING,high,Sudden braking detected - possible traffic or obstacle
FLAG0009,TRIP_DRV003_04,DRV003,2024-02-06 13:29:51,5100,COMPOUND,COMPOUND_TURN_CONFLICT,high,Sharp maneuver during raised voices - distracted driving risk
FLAG0010,TRIP_DRV003_05,DRV003,2024-02-06 15:41:39,2581,MOTION,POTHOLE,low,Road irregularity detected - pothole or speed bump
